,BUSCADOR DE CARRERAS 2026,,,,,,,,,,,,,,,,,,Porcentaje de matriculados según establecimiento de origen,,,,,,,,,,,Ponderaciones,,,,,,,,
Código único de carrera ,Código institución ,Área del conocimiento,Tipo de institución,Nombre institución,Nombre carrera,Región,Jornada,Sede,Arancel Anual 2026,Costo de titulación,Duración Formal (semestres),Nivel carrera ,Matrícula Total Femenina 2025,Matrícula Total Masculina 2025,Matrícula Total 2025,Matrícula 1er año Femenina 2025,Matrícula 1er año Masculina 2025,Matrícula 1er año Total 2025,Municipal y Servicios Locales,Particular Subvencionado ,Particular Pagado,Administración Delegada,Titulación Femenina 2024,Titlación Masculina 2024,Titulación Total 2024,Rango ingreso a 1er año con PAES 2025,Promedio PAES 2025 de Matrícula 1er año 2025,Promedio NEM 2025 de Matrícula 2025,Vacantes 1er semestre ,NEM,Ranking ,PAES Lenguaje,PAES Matemáticas ,PAES Matemáticas 2,PAES Historia ,PAES Ciencias ,Otros ,Área Carrera Genérica
I83S1C430J2V1,83,Ciencias Básicas,Universidades,UNIVERSIDAD DE PLAYA ANCHA DE CIENCIAS DE LA EDUCACION,TECNICO EN ANALISIS QUIMICO,Valparaíso,Vespertina,CASA CENTRAL (VALPARAISO),$ 2.800.000,$ 232.000,5,Técnica de Nivel Superior,0,0,0,0,0,0,s/i,s/i,s/i,s/i,0,0,0, - , - , s/i ,20,0,0,0,0,0,0,0,0,Técnico en Química (Análisis e Industrial)
I83S1C45J1V1,83,Educación,Universidades,UNIVERSIDAD DE PLAYA ANCHA DE CIENCIAS DE LA EDUCACION,PEDAGOGIA EN EDUCACION DIFERENCIAL,Valparaíso,Diurna,CASA CENTRAL (VALPARAISO),$ 3.780.000,$ 384.000,8,Profesional,186,12,198,52,2,54,36.9%,59.6%,2.5%,1.0%,57,2,59, 80% <= X <= 100% , 565.6 , 6.1 ,55,30,30,20,10,0,10,10,0,Pedagogía en Educación Diferencial
I83S1C48J1V3,83,Educación,Universidades,UNIVERSIDAD DE PLAYA ANCHA DE CIENCIAS DE LA EDUCACION,PEDAGOGIA EN EDUCACION MUSICAL,Valparaíso,Diurna,CASA CENTRAL (VALPARAISO),$ 3.780.000,$ 384.000,10,Profesional,0,0,0,0,0,0,s/i,s/i,s/i,s/i,0,0,0, - , - , s/i ,25,25,25,30,10,0,10,10,0,Pedagogía en Artes y Música
I83S1C4J1V1,83,Humanidades,Universidades,UNIVERSIDAD DE PLAYA ANCHA DE CIENCIAS DE LA EDUCACION,BIBLIOTECOLOGIA,Valparaíso,Diurna,CASA CENTRAL (VALPARAISO),$ 3.960.000,$ 384.000,10,Profesional,65,22,87,18,4,22,34.5%,58.3%,4.8%,2.4%,10,2,12, - , - , 6.0 ,20,30,30,20,10,0,10,10,0,Bibliotecología
I83S1C51J1V1,83,Educación,Universidades,UNIVERSIDAD DE PLAYA ANCHA DE CIENCIAS DE LA EDUCACION,PEDAGOGIA EN FILOSOFIA,Valparaíso,Diurna,CASA CENTRAL (VALPARAISO),$ 3.780.000,$ 384.000,9,Profesional,10,17,27,4,2,6,19.2%,73.1%,7.7%,0.0%,1,2,3, - , - , 5.8 ,10,25,25,30,10,0,10,10,0,Pedagogía en Filosofía y Religión
I83S1C53J1V2,83,Educación,Universidades,UNIVERSIDAD DE PLAYA ANCHA DE CIENCIAS DE LA EDUCACION,PEDAGOGIA EN FISICA CON MENCION EN EDUCACION ASTRONOMICA,Valparaíso,Diurna,CASA CENTRAL (VALPARAISO),$ 3.780.000,$ 384.000,10,Profesional,0,0,0,0,0,0,s/i,s/i,s/i,s/i,0,0,0, - , - , s/i ,15,25,25,20,20,0,10,10,0,Pedagogía en Ciencias
I83S1C55J1V1,83,Educación,Universidades,UNIVERSIDAD DE PLAYA ANCHA DE CIENCIAS DE LA EDUCACION,PEDAGOGIA EN HISTORIA Y GEOGRAFIA,Valparaíso,Diurna,CASA CENTRAL (VALPARAISO),$ 3.780.000,$ 384.000,9,Profesional,42,56,98,7,14,21,28.7%,67.0%,1.1%,3.2%,8,17,25, - , - , 6.0 ,20,25,25,30,10,0,10,10,0,"Pedagogía en Historia, Geografía y Ciencias Sociales"
I83S1C56J1V1,83,Educación,Universidades,UNIVERSIDAD DE PLAYA ANCHA DE CIENCIAS DE LA EDUCACION,PEDAGOGIA EN INGLES,Valparaíso,Diurna,CASA CENTRAL (VALPARAISO),$ 3.780.000,$ 384.000,9,Profesional,115,91,206,27,12,39,34.2%,64.4%,1.0%,0.5%,21,15,36, 80% <= X <= 100% , 597.2 , 6.0 ,40,25,20,35,10,0,10,10,0,Pedagogía en Idiomas
I83S1C57J1V3,83,Educación,Universidades,UNIVERSIDAD DE PLAYA ANCHA DE CIENCIAS DE LA EDUCACION,PEDAGOGIA EN MATEMATICA,Valparaíso,Diurna,CASA CENTRAL (VALPARAISO),$ 3.780.000,$ 384.000,10,Profesional,0,2,2,0,0,0,s/i,s/i,s/i,s/i,0,2,2, - , - , s/i ,15,25,30,15,15,5,10,10,0,Pedagogía en Matemáticas y Computación
I83S1C58J1V1,83,Educación,Universidades,UNIVERSIDAD DE PLAYA ANCHA DE CIENCIAS DE LA EDUCACION,PEDAGOGIA EN QUIMICA Y CIENCIAS,Valparaíso,Diurna,CASA CENTRAL (VALPARAISO),$ 3.780.000,$ 384.000,9,Profesional,1,6,7,0,0,0,s/i,s/i,s/i,s/i,3,2,5, - , - , s/i ,12,30,30,20,10,0,10,10,0,Pedagogía en Ciencias
I83S1C59J1V1,83,Ciencias Sociales,Universidades,UNIVERSIDAD DE PLAYA ANCHA DE CIENCIAS DE LA EDUCACION,PERIODISMO,Valparaíso,Diurna,CASA CENTRAL (VALPARAISO),$ 4.450.000,$ 384.000,10,Profesional,86,103,189,19,9,28,23.0%,67.4%,8.0%,1.6%,19,20,39, 80% <= X <= 100% , 566.4 , 5.9 ,30,20,25,35,10,0,10,10,0,Periodismo
I83S1C65J1V1,83,Educación,Universidades,UNIVERSIDAD DE PLAYA ANCHA DE CIENCIAS DE LA EDUCACION,TECNOLOGIA EN DEPORTE Y RECREACION,Valparaíso,Diurna,CASA CENTRAL (VALPARAISO),$ 3.650.000,$ 384.000,10,Profesional,28,87,115,11,22,33,33.3%,62.3%,4.4%,0.0%,6,13,19, 80% <= X <= 100% , 538.9 , 5.7 ,30,30,30,20,10,0,10,10,0,Otros Profesionales de Educación
I83S1C66J1V1,83,Salud,Universidades,UNIVERSIDAD DE PLAYA ANCHA DE CIENCIAS DE LA EDUCACION,TERAPIA OCUPACIONAL,Valparaíso,Diurna,CASA CENTRAL (VALPARAISO),$ 4.950.000,$ 384.000,10,Profesional,304,34,338,49,8,57,29.4%,65.6%,5.0%,0.0%,49,7,56, 80% <= X <= 100% , 567.0 , 6.3 ,60,30,30,20,10,0,10,10,0,Terapia Ocupacional
I83S1C68J1V1,83,Humanidades,Universidades,UNIVERSIDAD DE PLAYA ANCHA DE CIENCIAS DE LA EDUCACION,TRADUCCION E INTERPRETACION INGLES-ESPAÑOL,Valparaíso,Diurna,CASA CENTRAL (VALPARAISO),$ 4.165.000,$ 232.000,10,Profesional,156,82,238,23,7,30,25.8%,64.8%,7.6%,1.7%,9,7,16, 80% <= X <= 100% , 579.8 , 6.0 ,30,30,30,20,10,0,10,10,0,Traducción e Interpretación
I83S1C73J1V1,83,Ciencias Sociales,Universidades,UNIVERSIDAD DE PLAYA ANCHA DE CIENCIAS DE LA EDUCACION,SOCIOLOGIA,Valparaíso,Diurna,CASA CENTRAL (VALPARAISO),$ 4.050.000,$ 384.000,10,Profesional,39,38,77,7,4,11,20.3%,71.0%,7.2%,1.4%,6,4,10, - , - , 5.7 ,15,20,20,25,10,0,25,25,0,Sociología
I83S1C74J1V2,83,Arte y Arquitectura,Universidades,UNIVERSIDAD DE PLAYA ANCHA DE CIENCIAS DE LA EDUCACION,TEATRO,Valparaíso,Diurna,CASA CENTRAL (VALPARAISO),$ 4.185.000,$ 384.000,9,Profesional,10,2,12,10,2,12,33.3%,66.7%,0.0%,0.0%,0,0,0, - , - , 6.0 ,15,25,25,30,10,0,10,10,0,Actuación y Teatro
I83S1C7J1V2,83,Tecnología,Universidades,UNIVERSIDAD DE PLAYA ANCHA DE CIENCIAS DE LA EDUCACION,DIBUJANTE PROYECTISTA,Valparaíso,Diurna,CASA CENTRAL (VALPARAISO),$ 4.130.000,$ 232.000,9,Profesional,0,0,0,0,0,0,s/i,s/i,s/i,s/i,0,0,0, - , - , s/i ,10,30,30,20,10,0,10,10,0,Otros Profesionales de Tecnología
I83S1C80J4V3,83,Educación,Universidades,UNIVERSIDAD DE PLAYA ANCHA DE CIENCIAS DE LA EDUCACION,LICENCIATURA EN EDUCACION,Valparaíso,A Distancia,CASA CENTRAL (VALPARAISO),$ 1.600.000,$ 232.000,2,Profesional,0,0,0,0,0,0,s/i,s/i,s/i,s/i,0,0,0, - , - , s/i ,40,0,0,0,0,0,0,0,0,Bachillerato y/o Licenciatura en Educación
I83S1C95J1V1,83,Salud,Universidades,UNIVERSIDAD DE PLAYA ANCHA DE CIENCIAS DE LA EDUCACION,NUTRICION Y DIETETICA,Valparaíso,Diurna,CASA CENTRAL (VALPARAISO),$ 4.100.000,$ 384.000,10,Profesional,203,73,276,36,19,55,32.8%,62.4%,3.0%,1.8%,18,2,20, 80% <= X <= 100% , 542.0 , 6.0 ,60,25,30,25,10,0,10,10,0,Nutrición y Dietética
I83S2C21J1V1,83,Tecnología,Universidades,UNIVERSIDAD DE PLAYA ANCHA DE CIENCIAS DE LA EDUCACION,INGENIERIA EN INFORMATICA,Valparaíso,Diurna,SEDE SAN FELIPE,$ 4.110.000,$ 384.000,10,Profesional,17,92,109,4,22,26,37.7%,35.8%,0.9%,25.5%,0,3,3, 80% <= X <= 100% , 601.5 , 6.1 ,20,25,30,20,10,5,10,10,0,Ingeniería en Computación e Informática
I83S2C282J2V1,83,Administración y Comercio,Universidades,UNIVERSIDAD DE PLAYA ANCHA DE CIENCIAS DE LA EDUCACION,TECNICO EN ADMINISTRACION EN RECURSOS HUMANOS,Valparaíso,Vespertina,SEDE SAN FELIPE,$ 2.516.419,$ 232.000,5,Técnica de Nivel Superior,0,0,0,0,0,0,s/i,s/i,s/i,s/i,0,0,0, - , - , s/i ,35,0,0,0,0,0,0,0,0,Técnico en Administración de Recursos Humanos y Personal
I83S2C283J2V1,83,Administración y Comercio,Universidades,UNIVERSIDAD DE PLAYA ANCHA DE CIENCIAS DE LA EDUCACION,TECNICO EN ADMINISTRACION LOGISTICA,Valparaíso,Vespertina,SEDE SAN FELIPE,$ 2.516.419,$ 232.000,5,Técnica de Nivel Superior,0,0,0,0,0,0,s/i,s/i,s/i,s/i,2,0,2, - , - , s/i ,25,0,0,0,0,0,0,0,0,Técnico en Logística
I83S2C284J2V1,83,Tecnología,Universidades,UNIVERSIDAD DE PLAYA ANCHA DE CIENCIAS DE LA EDUCACION,TECNICO EN CONSTRUCCION,Valparaíso,Vespertina,SEDE SAN FELIPE,$ 2.641.999,$ 232.000,5,Técnica de Nivel Superior,0,0,0,0,0,0,s/i,s/i,s/i,s/i,1,0,1, - , - , s/i ,30,0,0,0,0,0,0,0,0,Técnico en Construcción y Obras Civiles
I83S2C372J2V1,83,Educación,Universidades,UNIVERSIDAD DE PLAYA ANCHA DE CIENCIAS DE LA EDUCACION,TECNICO EN EDUCACION PARVULARIA,Valparaíso,Vespertina,SEDE SAN FELIPE,$ 2.601.937,$ 232.000,4,Técnica de Nivel Superior,78,0,78,46,0,46,52.7%,41.9%,0.0%,5.4%,13,0,13, - , - , 5.9 ,40,0,0,0,0,0,0,0,0,Técnico Asistente del Educador de Párvulos
I83S2C373J2V2,83,Tecnología,Universidades,UNIVERSIDAD DE PLAYA ANCHA DE CIENCIAS DE LA EDUCACION,TECNICO EN ELECTRICIDAD,Valparaíso,Vespertina,SEDE SAN FELIPE,$ 2.641.999,$ 232.000,5,Técnica de Nivel Superior,0,0,0,0,0,0,s/i,s/i,s/i,s/i,0,0,0, - , - , s/i ,35,0,0,0,0,0,0,0,0,Técnico en Electricidad y Electricidad Industrial
I83S2C374J2V2,83,Humanidades,Universidades,UNIVERSIDAD DE PLAYA ANCHA DE CIENCIAS DE LA EDUCACION,TECNICO EN INTERPRETACION DE LENGUA DE SEÑAS,Valparaíso,Vespertina,SEDE SAN FELIPE,$ 2.601.937,$ 232.000,5,Técnica de Nivel Superior,0,0,0,0,0,0,s/i,s/i,s/i,s/i,0,0,0, - , - , s/i ,20,0,0,0,0,0,0,0,0,Otros Técnicos de Humanidades
I83S2C390J2V2,83,Administración y Comercio,Universidades,UNIVERSIDAD DE PLAYA ANCHA DE CIENCIAS DE LA EDUCACION,TECNICO EN CONTABILIDAD GENERAL,Valparaíso,Vespertina,SEDE SAN FELIPE,$ 2.414.938,$ 232.000,5,Técnica de Nivel Superior,0,0,0,0,0,0,s/i,s/i,s/i,s/i,0,0,0, - , - , s/i ,27,0,0,0,0,0,0,0,0,Técnico en Contabilidad General
I83S2C40J1V1,83,Educación,Universidades,UNIVERSIDAD DE PLAYA ANCHA DE CIENCIAS DE LA EDUCACION,PEDAGOGIA EN CASTELLANO,Valparaíso,Diurna,SEDE SAN FELIPE,$ 3.780.000,$ 384.000,9,Profesional,52,19,71,12,5,17,41.4%,55.7%,0.0%,2.9%,8,3,11, - , - , 6.2 ,15,25,25,30,10,0,10,10,0,"Pedagogía en Lenguaje, Comunicación y/o Castellano"
I83S2C431J2V1,83,Tecnología,Universidades,UNIVERSIDAD DE PLAYA ANCHA DE CIENCIAS DE LA EDUCACION,TECNICO EN MECANICA INDUSTRIAL,Valparaíso,Vespertina,SEDE SAN FELIPE,$ 2.800.000,$ 232.000,5,Técnica de Nivel Superior,0,0,0,0,0,0,s/i,s/i,s/i,s/i,0,0,0, - , - , s/i ,25,0,0,0,0,0,0,0,0,Técnico en Mecánica Industrial
I83S2C45J1V1,83,Educación,Universidades,UNIVERSIDAD DE PLAYA ANCHA DE CIENCIAS DE LA EDUCACION,PEDAGOGIA EN EDUCACION DIFERENCIAL,Valparaíso,Diurna,SEDE SAN FELIPE,$ 3.780.000,$ 384.000,8,Profesional,161,15,176,39,1,40,37.2%,51.7%,0.0%,11.0%,23,1,24, 80% <= X <= 100% , 550.0 , 6.2 ,35,30,30,20,10,0,10,10,0,Pedagogía en Educación Diferencial
I83S2C56J1V1,83,Educación,Universidades,UNIVERSIDAD DE PLAYA ANCHA DE CIENCIAS DE LA EDUCACION,PEDAGOGIA EN INGLES,Valparaíso,Diurna,SEDE SAN FELIPE,$ 3.780.000,$ 384.000,9,Profesional,50,41,91,18,9,27,30.8%,46.2%,5.5%,17.6%,6,6,12, - , - , 6.1 ,20,25,20,35,10,0,10,10,0,Pedagogía en Idiomas
I83S2C75J2V3,83,Tecnología,Universidades,UNIVERSIDAD DE PLAYA ANCHA DE CIENCIAS DE LA EDUCACION,TECNICO EN MINERIA,Valparaíso,Vespertina,SEDE SAN FELIPE,$ 2.641.999,$ 232.000,5,Técnica de Nivel Superior,0,0,0,0,0,0,s/i,s/i,s/i,s/i,0,0,0, - , - , s/i ,40,0,0,0,0,0,0,0,0,Técnico en Minería
I84S1C15J1V2,84,Educación,Universidades,UNIVERSIDAD DE LOS LAGOS,"EDUCACION PARVULARIA, PROSECUCION DE ESTUDIOS",Los Lagos,Diurna,CASA CENTRAL (OSORNO),$ 3.461.000,$ 429.000,6,Profesional,67,0,67,0,0,0,41.8%,56.7%,1.5%,0.0%,58,0,58, - , - , 5.6 ,20,0,0,0,0,0,0,0,0,Pedagogía en Educación de Párvulos
I84S1C15J1V3,84,Educación,Universidades,UNIVERSIDAD DE LOS LAGOS,EDUCACION PARVULARIA,Los Lagos,Diurna,CASA CENTRAL (OSORNO),$ 3.461.000,$ 429.000,10,Profesional,145,2,147,39,1,40,59.2%,38.8%,0.7%,1.4%,0,0,0, 80% <= X <= 100% , 513.9 , 6.0 ,50,10,40,20,20,0,10,10,0,Pedagogía en Educación de Párvulos
I84S1C19J1V1,84,Administración y Comercio,Universidades,UNIVERSIDAD DE LOS LAGOS,INGENIERIA COMERCIAL,Los Lagos,Diurna,CASA CENTRAL (OSORNO),$ 5.078.000,$ 429.000,10,Profesional,107,143,250,30,42,72,51.2%,42.8%,5.6%,0.4%,4,2,6, 80% <= X <= 100% , 608.3 , 6.1 ,68,10,40,15,25,0,10,10,0,Ingeniería Comercial
I84S1C22J1V1,84,Tecnología,Universidades,UNIVERSIDAD DE LOS LAGOS,INGENIERIA EN ALIMENTOS,Los Lagos,Diurna,CASA CENTRAL (OSORNO),$ 4.467.000,$ 429.000,10,Profesional,64,29,93,11,7,18,54.4%,44.4%,0.0%,1.1%,8,4,12, - , - , 6.0 ,40,10,45,10,20,5,0,10,0,Ingeniería en Alimentos
I84S1C28J1V3,84,Educación,Universidades,UNIVERSIDAD DE LOS LAGOS,"PEDAGOGIA EN EDUCACION MEDIA MENCION EDUCACION FISICA, PROSECUCION DE ESTUDIOS",Los Lagos,Diurna,CASA CENTRAL (OSORNO),$ 3.618.000,$ 429.000,6,Profesional,8,21,29,0,0,0,48.3%,48.3%,0.0%,3.4%,6,3,9, - , - , 5.7 ,20,0,0,0,0,0,0,0,0,Pedagogía en Educación Física
I84S1C28J1V4,84,Educación,Universidades,UNIVERSIDAD DE LOS LAGOS,PEDAGOGIA EN EDUCACION MEDIA MENCION EDUCACION FISICA,Los Lagos,Diurna,CASA CENTRAL (OSORNO),$ 3.618.000,$ 429.000,10,Profesional,46,98,144,22,37,59,54.9%,40.3%,2.8%,2.1%,0,0,0, 80% <= X <= 100% , 550.5 , 5.8 ,52,10,50,20,10,0,10,10,0,Pedagogía en Educación Física
I84S1C319J1V1,84,Salud,Universidades,UNIVERSIDAD DE LOS LAGOS,ENFERMERIA,Los Lagos,Diurna,CASA CENTRAL (OSORNO),$ 5.078.000,$ 429.000,10,Profesional,380,132,512,75,27,102,50.6%,46.3%,2.3%,0.8%,41,7,48, 80% <= X <= 100% , 591.3 , 6.3 ,104,10,45,15,20,0,0,10,0,Enfermería
I84S1C31J1V2,84,Educación,Universidades,UNIVERSIDAD DE LOS LAGOS,PEDAGOGIA EN EDUCACION MEDIA EN HISTORIA Y GEOGRAFIA,Los Lagos,Diurna,CASA CENTRAL (OSORNO),$ 3.618.000,$ 429.000,10,Profesional,45,50,95,15,8,23,46.3%,46.3%,6.3%,1.1%,3,1,4, - , - , 6.1 ,40,10,40,20,10,0,20,0,0,"Pedagogía en Historia, Geografía y Ciencias Sociales"
I84S1C320J1V1,84,Salud,Universidades,UNIVERSIDAD DE LOS LAGOS,KINESIOLOGIA,Los Lagos,Diurna,CASA CENTRAL (OSORNO),$ 5.078.000,$ 429.000,10,Profesional,179,170,349,41,42,83,49.0%,48.7%,2.0%,0.3%,26,15,41, 80% <= X <= 100% , 598.8 , 6.1 ,67,10,50,15,15,0,0,10,0,Kinesiología
I84S1C322J1V2,84,Educación,Universidades,UNIVERSIDAD DE LOS LAGOS,TECNICO DEPORTIVO UNIVERSITARIO,Los Lagos,Diurna,CASA CENTRAL (OSORNO),$ 2.328.000,$ 253.000,5,Técnica de Nivel Superior,22,86,108,9,42,51,41.1%,57.9%,0.9%,0.0%,7,14,21, - , - , 5.5 ,60,0,0,0,0,0,0,0,0,"Técnico en Deporte, Recreación y Preparación Física"
I84S1C330J1V2,84,Tecnología,Universidades,UNIVERSIDAD DE LOS LAGOS,INGENIERIA CIVIL EN INFORMATICA,Los Lagos,Diurna,CASA CENTRAL (OSORNO),$ 5.078.000,$ 429.000,11,Profesional,40,287,327,11,78,89,59.8%,37.4%,2.8%,0.0%,0,1,1, 80% <= X <= 100% , 649.5 , 6.2 ,90,10,35,10,30,5,10,10,0,Ingeniería Civil en Computación e Informática
I84S1C34J1V1,84,Educación,Universidades,UNIVERSIDAD DE LOS LAGOS,PEDAGOGIA EN EDUCACION MEDIA EN MATEMATICA Y COMPUTACION,Los Lagos,Diurna,CASA CENTRAL (OSORNO),$ 3.618.000,$ 429.000,10,Profesional,28,43,71,12,6,18,62.0%,33.8%,4.2%,0.0%,16,13,29, - , - , 6.3 ,40,10,45,10,20,5,10,10,0,Pedagogía en Matemáticas y Computación
I84S1C393J1V1,84,Salud,Universidades,UNIVERSIDAD DE LOS LAGOS,FONOAUDIOLOGIA,Los Lagos,Diurna,CASA CENTRAL (OSORNO),$ 5.078.000,$ 429.000,10,Profesional,156,31,187,43,9,52,50.5%,48.4%,0.5%,0.5%,16,1,17, 80% <= X <= 100% , 531.6 , 5.9 ,50,10,40,15,25,0,0,10,0,Fonoaudiología
I84S1C395J2V1,84,Administración y Comercio,Universidades,UNIVERSIDAD DE LOS LAGOS,INGENIERIA EN ADMINISTRACION DE EMPRESAS (CONTINUIDAD PARA TECNICOS DE NIVEL SUPERIOR),Los Lagos,Vespertina,CASA CENTRAL (OSORNO),$ 2.499.000,$ 361.000,5,Profesional,61,29,90,0,0,0,59.7%,38.9%,0.0%,1.4%,19,18,37, - , - , 5.6 ,35,0,0,0,0,0,0,0,0,Administración de Empresas e Ing. Asociadas
I84S1C3J1V1,84,Ciencias Básicas,Universidades,UNIVERSIDAD DE LOS LAGOS,BIOLOGIA MARINA,Los Lagos,Diurna,CASA CENTRAL (OSORNO),$ 4.415.000,$ 429.000,10,Profesional,52,55,107,17,15,32,42.1%,53.3%,1.9%,2.8%,0,1,1, 80% <= X <= 100% , 558.8 , 6.0 ,50,10,50,10,20,0,0,10,0,Biología Marina y Ecología Marina
I84S1C400J2V1,84,Tecnología,Universidades,UNIVERSIDAD DE LOS LAGOS,INGENIERIA EN INFORMATICA (CONTINUIDAD PARA TECNICOS DE NIVEL SUPERIOR),Los Lagos,Vespertina,CASA CENTRAL (OSORNO),$ 2.841.000,$ 361.000,5,Profesional,1,21,22,0,0,0,35.0%,60.0%,5.0%,0.0%,0,1,1, - , - , 5.6 ,30,0,0,0,0,0,0,0,0,Ingeniería en Computación e Informática
I84S1C406J1V1,84,Ciencias Sociales,Universidades,UNIVERSIDAD DE LOS LAGOS,PSICOLOGIA,Los Lagos,Diurna,CASA CENTRAL (OSORNO),$ 5.078.000,$ 429.000,10,Profesional,366,169,535,83,37,120,49.9%,45.9%,3.0%,1.1%,38,14,52, 80% <= X <= 100% , 612.1 , 6.2 ,114,10,40,20,20,0,10,10,0,Psicología
I84S1C423J1V2,84,Tecnología,Universidades,UNIVERSIDAD DE LOS LAGOS,TECNICO UNIVERSITARIO EN GESTION Y DESARROLLO DE PRODUCTOS ALIMENTARIOS,Los Lagos,Diurna,CASA CENTRAL (OSORNO),$ 2.387.000,$ 253.000,5,Técnica de Nivel Superior,25,21,46,10,11,21,47.7%,52.3%,0.0%,0.0%,1,2,3, - , - , 5.9 ,30,0,0,0,0,0,0,0,0,Técnico en Alimentos
I84S1C435J1V2,84,Salud,Universidades,UNIVERSIDAD DE LOS LAGOS,NUTRICION Y DIETETICA,Los Lagos,Diurna,CASA CENTRAL (OSORNO),$ 5.078.000,$ 429.000,10,Profesional,196,50,246,64,18,82,54.5%,43.8%,1.7%,0.0%,32,3,35, 80% <= X <= 100% , 562.1 , 6.0 ,77,10,40,15,20,0,0,15,0,Nutrición y Dietética
I84S1C436J1V2,84,Educación,Universidades,UNIVERSIDAD DE LOS LAGOS,PEDAGOGIA EN EDUCACION MEDIA EN INGLES,Los Lagos,Diurna,CASA CENTRAL (OSORNO),$ 3.618.000,$ 429.000,10,Profesional,114,83,197,23,23,46,57.7%,40.3%,1.5%,0.5%,18,6,24, 80% <= X <= 100% , 610.9 , 6.0 ,50,10,40,30,10,0,10,0,0,Pedagogía en Idiomas
I84S1C440J1V1,84,Ciencias Sociales,Universidades,UNIVERSIDAD DE LOS LAGOS,ANTROPOLOGIA,Los Lagos,Diurna,CASA CENTRAL (OSORNO),$ 5.078.000,$ 429.000,10,Profesional,35,22,57,8,2,10,56.4%,34.5%,9.1%,0.0%,1,2,3, - , - , 5.9 ,40,10,50,20,10,0,10,0,0,Antropología
I84S1C441J1V1,84,Derecho,Universidades,UNIVERSIDAD DE LOS LAGOS,DERECHO,Los Lagos,Diurna,CASA CENTRAL (OSORNO),$ 5.118.000,$ 201.000,10,Profesional,237,175,412,62,31,93,44.3%,49.5%,6.2%,0.0%,10,3,13, 80% <= X <= 100% , 611.5 , 6.2 ,87,10,40,20,10,0,20,0,0,Derecho
I84S1C447J1V1,84,Agropecuaria,Universidades,UNIVERSIDAD DE LOS LAGOS,AGRONOMIA,Los Lagos,Diurna,CASA CENTRAL (OSORNO),$ 5.007.000,$ 429.000,10,Profesional,49,76,125,15,27,42,33.9%,55.6%,6.5%,4.0%,0,0,0, 80% <= X <= 100% , 563.2 , 6.1 ,50,10,50,10,20,0,0,10,0,Agronomía
I84S1C448J1V2,84,Educación,Universidades,UNIVERSIDAD DE LOS LAGOS,PEDAGOGIA EN EDUCACION MEDIA MENCION LENGUA CASTELLANA Y COMUNICACIONES,Los Lagos,Diurna,CASA CENTRAL (OSORNO),$ 3.618.000,$ 429.000,10,Profesional,74,45,119,28,18,46,49.6%,47.0%,2.6%,0.9%,8,2,10, 80% <= X <= 100% , 608.0 , 6.0 ,40,10,40,30,10,0,10,10,0,"Pedagogía en Lenguaje, Comunicación y/o Castellano"
I84S1C455J1V1,84,Educación,Universidades,UNIVERSIDAD DE LOS LAGOS,PEDAGOGIA EN EDUCACION BASICA MENCION LENGUAJE Y MATEMATICA,Los Lagos,Diurna,CASA CENTRAL (OSORNO),$ 3.599.000,$ 429.000,10,Profesional,89,24,113,28,7,35,62.2%,34.2%,2.7%,0.9%,0,0,0, 80% <= X <= 100% , 590.6 , 6.0 ,40,10,50,15,15,0,10,10,0,Pedagogía en Educación Básica
I84S1C456J1V1,84,Salud,Universidades,UNIVERSIDAD DE LOS LAGOS,OBSTETRICIA Y PUERICULTURA,Los Lagos,Diurna,CASA CENTRAL (OSORNO),$ 5.054.000,$ 429.000,10,Profesional,434,18,452,103,1,104,54.0%,42.5%,2.9%,0.7%,0,0,0, 80% <= X <= 100% , 578.9 , 6.4 ,104,10,40,20,20,0,0,10,0,Obstetricia y Puericultura
I84S1C46J1V3,84,Ciencias Sociales,Universidades,UNIVERSIDAD DE LOS LAGOS,TRABAJO SOCIAL,Los Lagos,Diurna,CASA CENTRAL (OSORNO),$ 3.618.000,$ 429.000,10,Profesional,136,42,178,23,10,33,52.0%,44.6%,1.7%,1.7%,30,4,34, 80% <= X <= 100% , 550.8 , 6.0 ,50,10,50,10,10,0,20,0,0,Trabajo Social
I84S1C485J1V1,84,Salud,Universidades,UNIVERSIDAD DE LOS LAGOS,TECNICO DE NIVEL SUPERIOR EN ENFERMERIA,Los Lagos,Diurna,CASA CENTRAL (OSORNO),$ 2.974.000,$ 253.000,5,Técnica de Nivel Superior,61,22,83,33,11,44,45.7%,54.3%,0.0%,0.0%,0,0,0, - , - , 5.8 ,50,0,0,0,0,0,0,0,0,Técnico en Enfermería
I84S1C49J1V3,84,Educación,Universidades,UNIVERSIDAD DE LOS LAGOS,EDUCACION DIFERENCIAL CON ESPECIALIDAD EN PROBLEMAS DE APRENDIZAJE,Los Lagos,Diurna,CASA CENTRAL (OSORNO),$ 3.461.000,$ 429.000,10,Profesional,0,0,0,0,0,0,s/i,s/i,s/i,s/i,0,0,0, - , - , s/i ,50,10,40,25,15,0,10,10,0,Pedagogía en Educación Diferencial
