,BUSCADOR DE CARRERAS 2026,,,,,,,,,,,,,,,,,,Porcentaje de matriculados según establecimiento de origen,,,,,,,,,,,Ponderaciones,,,,,,,,
Código único de carrera ,Código institución ,Área del conocimiento,Tipo de institución,Nombre institución,Nombre carrera,Región,Jornada,Sede,Arancel Anual 2026,Costo de titulación,Duración Formal (semestres),Nivel carrera ,Matrícula Total Femenina 2025,Matrícula Total Masculina 2025,Matrícula Total 2025,Matrícula 1er año Femenina 2025,Matrícula 1er año Masculina 2025,Matrícula 1er año Total 2025,Municipal y Servicios Locales,Particular Subvencionado ,Particular Pagado,Administración Delegada,Titulación Femenina 2024,Titlación Masculina 2024,Titulación Total 2024,Rango ingreso a 1er año con PAES 2025,Promedio PAES 2025 de Matrícula 1er año 2025,Promedio NEM 2025 de Matrícula 2025,Vacantes 1er semestre ,NEM,Ranking ,PAES Lenguaje,PAES Matemáticas ,PAES Matemáticas 2,PAES Historia ,PAES Ciencias ,Otros ,Área Carrera Genérica
I1S1C237J1V1,1,Arte y Arquitectura,Universidades,UNIVERSIDAD GABRIELA MISTRAL,DISEÑO EN ANIMACION DIGITAL,Metropolitana,Diurna,CASA CENTRAL,$ 4.814.000,$ 454.000,9,Profesional,71,59,130,12,9,21,21.4%,60.3%,16.7%,1.6%,0,0,0, - , - , 6.1 ,60,30,40,10,10,0,10,10,0,Diseño Gráfico
I1S1C238J1V1,1,Arte y Arquitectura,Universidades,UNIVERSIDAD GABRIELA MISTRAL,DISEÑO EN INTERACCION DIGITAL,Metropolitana,Diurna,CASA CENTRAL,$ 4.814.000,$ 454.000,9,Profesional,17,8,25,2,1,3,13.6%,45.5%,31.8%,9.1%,0,0,0, - , - , 6.5 ,20,30,40,10,10,0,10,10,0,Diseño Gráfico
I1S1C239J1V1,1,Arte y Arquitectura,Universidades,UNIVERSIDAD GABRIELA MISTRAL,DISEÑO DE VIDEOJUEGOS,Metropolitana,Diurna,CASA CENTRAL,$ 4.814.000,$ 454.000,9,Profesional,7,55,62,1,11,12,22.4%,46.6%,22.4%,8.6%,0,0,0, - , - , 6.0 ,30,30,40,10,10,0,10,10,0,Diseño Gráfico
I1S1C241J1V1,1,Arte y Arquitectura,Universidades,UNIVERSIDAD GABRIELA MISTRAL,DISEÑO EN MARKETING DIGITAL,Metropolitana,Diurna,CASA CENTRAL,$ 4.814.000,$ 454.000,9,Profesional,21,5,26,7,0,7,19.2%,57.7%,19.2%,3.8%,0,0,0, - , - , 6.1 ,20,30,40,10,10,0,10,10,0,Diseño Gráfico
I1S1C242J1V2,1,Arte y Arquitectura,Universidades,UNIVERSIDAD GABRIELA MISTRAL,ARQUITECTURA,Metropolitana,Diurna,CASA CENTRAL,$ 5.185.000,$ 489.000,10,Profesional,0,0,0,0,0,0,s/i,s/i,s/i,s/i,0,0,0, - , - , s/i ,80,30,40,10,10,0,10,10,0,Arquitectura
I1S1C250J4V2,1,Tecnología,Universidades,UNIVERSIDAD GABRIELA MISTRAL,INGENIERIA EN COMPUTACION E INFORMATICA,Metropolitana,A Distancia,CASA CENTRAL,$ 4.114.000,$ 377.000,5,Profesional,20,58,78,0,0,0,23.2%,58.9%,14.3%,3.6%,0,0,0, - , - , 5.7 ,31,0,0,0,0,0,0,0,0,Ingeniería en Computación e Informática
I1S1C250J4V4,1,Tecnología,Universidades,UNIVERSIDAD GABRIELA MISTRAL,INGENIERIA EN COMPUTACION E INFORMATICA,Metropolitana,A Distancia,CASA CENTRAL,$ 4.114.000,$ 377.000,5,Profesional,12,75,87,0,0,0,21.1%,61.4%,10.5%,7.0%,0,0,0, - , - , 5.5 ,32,0,0,0,0,0,0,0,0,Ingeniería en Computación e Informática
I1S1C251J4V2,1,Tecnología,Universidades,UNIVERSIDAD GABRIELA MISTRAL,INGENIERIA INDUSTRIAL,Metropolitana,A Distancia,CASA CENTRAL,$ 4.075.000,$ 377.000,5,Profesional,15,65,80,0,0,0,50.0%,36.4%,4.5%,9.1%,1,9,10, - , - , 5.8 ,55,0,0,0,0,0,0,0,0,Ingeniería Industrial
I1S1C251J4V3,1,Tecnología,Universidades,UNIVERSIDAD GABRIELA MISTRAL,INGENIERIA INDUSTRIAL,Metropolitana,A Distancia,CASA CENTRAL,$ 4.075.000,$ 377.000,6,Profesional,28,68,96,0,0,0,40.7%,44.1%,6.8%,8.5%,1,20,21, - , - , 5.5 ,54,0,0,0,0,0,0,0,0,Ingeniería Industrial
I1S1C252J4V1,1,Ciencias Sociales,Universidades,UNIVERSIDAD GABRIELA MISTRAL,LICENCIATURA EN TRABAJO SOCIAL,Metropolitana,A Distancia,CASA CENTRAL,$ 2.341.000,$ 234.000,2,Profesional,151,24,175,0,0,0,46.3%,47.8%,1.5%,4.5%,94,16,110, - , - , 5.6 ,139,0,0,0,0,0,0,0,0,Trabajo Social
